#Metadata,,,,,,,
#Name and contact info: Sara Helms Cahan; scahan@uvm.edu,,,,,,,
#Study name:Hsp modulation of two ant species (Aphaenogaster picea and A. rudis),,,,,,,
"#Financial support: National Science Foundation, Division of Environmental Biology#(1136644)",,,,,,,
#Methods of data collection: Ants were collected along the eastern US and reared under common garden conditions in 2013,,,,,,,
"#Experimental units for each variable:Colony= colony identification, qpcr_block: is the randomized block design for qPCR; FC_83= fold induction for Hsp83; FC_70=fold change for Hsp70; FC_40= fold change for Hsp40; B_83= basal expression(delta delta CT method with the mean as the reference) Hsp83; B_70= basal expression(delta delta CT method with the mean as the reference) Hsp70; B_40= basal expression(delta delta CT method with the mean as the reference) Hsp40",,,,,,,
Colony,qpcr_block,FC_83,FC_70,FC_40,B_83,B_70,B_40
13-D,3,6.462506602,17.11030029,9.475854324,6.266533892,6.667514368,5.04109733
15-A,3,15.41301662,66.58591451,14.82463833,1.626245475,0.578958142,0.873046568
15-B,3,8.726847731,64.10356503,5.414033003,1.489046969,1.21792761,2.997975567
15-D,3,7.379667877,37.56628727,11.67364103,4.399710315,4.54761575,3.047221375
16-A,3,8.92774678,116.0453438,13.04185061,0.142806468,0.450947259,1.212175291
16-B,3,6.301808919,79.73425221,15.26482262,2.12600159,0.434742577,1.137950313
17-A,3,8.317370785,75.92358303,7.638697822,2.517082636,0.528819242,1.895404561
17-B,3,4.657015394,63.39386753,9.391068969,2.221579639,0.428923047,1.242804651
17-C,3,13.55187718,81.36187669,13.20890727,1.015852244,1.221293524,1.363363004
18-A,3,20.27178327,62.64687195,12.94911237,1.002280061,1.519053382,1.409409109
18-C,3,6.329295836,54.41136963,13.18744941,6.98868764,2.191854255,1.99745657
18-D,3,6.157106249,14.23537409,6.222926771,4.835080213,4.263269391,3.691940611
19-A,3,18.68272885,104.0918341,9.632418556,1.270538167,0.335586327,1.551588114
20-A,3,3.812683136,26.74987646,4.773240803,4.36405644,0.98968081,2.745477253
20-B,3,7.489414135,41.12232087,5.376019859,2.670800789,1.304713087,2.892931522
20-C,3,20.21935514,38.86158829,17.4738805,3.135607245,2.867123395,2.410814619
20-D,2,8.781077525,72.15466864,15.65743762,1.65475225,0.940712905,1.105327574
21-A,2,6.772904648,45.47249455,6.874502186,0.948724182,0.554726568,1.155806536
21-B,2,6.453484131,48.88186798,8.900834963,0.903238434,0.448827601,0.621376242
21-C,2,3.511195791,12.84550423,13.2670328,6.10897462,4.135418982,0.585208104
22-A,2,17.46056741,49.63064024,13.91427527,0.171095814,0.582331208,0.497699598
22-B,2,5.781317466,34.59048308,5.795049697,0.530475821,0.346696181,0.40684491
22-C,2,3.492163285,48.6442221,5.178436695,0.828241541,0.41298763,0.788718681
23-A,2,3.143408833,33.87119317,16.40221305,4.024851995,3.864367488,1.559371793
23-B,2,25.06863283,90.27994278,42.20405264,0.441353387,0.345198647,0.312697006
23-C,2,42.83708153,116.8464194,13.37863441,0.30500355,0.335721562,0.722948716
24-A,2,5.511950905,33.08925098,8.324595658,0.959119144,0.633640138,0.5179154
24-B,2,32.81588859,14.023174,13.59237528,0.190976708,4.388974059,0.63947862
25-A,1,6.390177978,18.07477402,1.094135744,0.999534603,0.491454863,8.465962263
25-C,1,26.22932937,61.06233791,8.942864629,0.675449228,0.65868627,2.700757063
25-D,1,41.57986991,22.35420489,2.649981003,0.235355832,0.752446499,10.54228775
26-A,1,1.876070272,12.14432985,1.143967446,5.620522162,1.372928874,6.458267118
26-B,1,11.80381693,53.80152413,4.855807557,0.265496388,0.36894592,0.076828593
26-C,1,10.35877683,55.20185855,13.72639692,0.328723038,0.541024914,0.038052217
26-D,1,15.61293328,33.63822303,18.89894634,0.368473817,3.129350647,0.301157964
26-E,1,10.68897581,69.51384122,21.30460749,0.387870192,0.899582796,0.261736729
27-A,1,4.520678816,14.04178162,1.817709413,1.437442315,6.165063413,1.610717593
27-B,1,9.03762896,56.82665847,11.76589027,0.585660243,0.477379728,0.182255644
28-A,1,5.473420307,67.57636601,15.99735078,0.140936664,0.375341161,0.045522922
28-B,1,24.06541041,40.0983488,,0.490481386,1.665194137,
